state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp
Jharkhand,East Singhbhum,Dengue,24,0,4,11,2010,22.8092139,86.2091549,0.08766739926,11,301.94
West Bengal,Bankura,Dengue,6,0,21,11,2010,23.13195425,87.2073972,0.02642647165,8,302.864
Chandigarh,Chandigarh,Dengue,25,0,4,10,2010,30.72984395,76.78414567,0.005205862058,18,302.6666666
Rajasthan,Dholpur,Dengue,5,0,9,11,2010,26.7010642,77.896749,0.0001038365434,0,305.2966666
Tamil Nadu,Sivaganga,Dengue,30,0,29,10,2010,9.851231,78.53047155,0.616651917,10,308.625
Madhya Pradesh,Dewas,Dengue,2,0,28,7,2009,23,76.166667,0.95538084,0,299.24
Madhya Pradesh,Indore,Dengue,78,0,3,9,2009,22.7665444,75.9006944,2.511336733,20,299.7
Chhattisgarh,Korba,Dengue,6,3,20,9,2009,22.3547468,82.7110855,0.01548100882,25,301.6233334
Maharashtra,Nashik,Dengue,57,0,15,9,2009,20.0112475,73.7902364,0.3437777824,21,301.06
Maharashtra,Nashik,Dengue,39,0,31,8,2009,20.0112475,73.7902364,0.4474799293,6,295.82
Madhya Pradesh,Indore,Dengue,73,0,22,10,2009,22.7665444,75.9006944,0.0000202,5,312.3533334
Madhya Pradesh,Indore,Dengue,11,0,26,10,2009,22.7665444,75.9006944,0.0000669,4,314.16
Puducherry,Puducherry,Dengue,12,0,22,10,2009,11.9340568,79.8306447,0.007798977484,10,308.008
Rajasthan,Banwara,Dengue,4,1,10,10,2009,26.3843347,75.6883764,0.1752200023,5,305.31
Chandigarh,Chandigarh,Dengue,8,0,30,10,2009,30.72984395,76.78414567,0.0000488,9,302.0466666
Madhya Pradesh,Indore,Dengue,36,0,5,11,2009,22.7665444,75.9006944,0.0000818,5,312.2633334
Tamil Nadu,Theni,Dengue,5,0,11,11,2009,9.9696643,77.47420049,2.362386394,5,0
Madhya Pradesh,Indore,Dengue,39,0,7,11,2009,22.7665444,75.9006944,0.0000586,5,311.5033334
Tamil Nadu,Dindigul,Dengue,9,0,14,12,2009,10.3303299,78.06739791,0.04451872436,10,301.576
Tamil Nadu,Dindigul,Dengue,9,0,14,12,2009,10.3303299,78.06739791,0.04451872436,10,301.576
Tamil Nadu,Coimbatore,Dengue,99,0,21,12,2009,11.0600516,77.0679581,0.2122926837,7,301.56
